chapter,paragraph_in_chapter,fix,before,after
Chapter Fourteen,133,period->comma,"“Yes, yes.” He said. “That’s the one advantage you hol","“Yes, yes,” he said. “That’s the one advantage you hol"
Chapter Fourteen,134,period->comma,"“But.” Barbatos said, the word flat.","“But,” Barbatos said, the word flat."
Chapter Fourteen,135,period->comma,“But.” Dantalion agreed. He set the teacup down with the c,"“But,” Dantalion agreed. He set the teacup down with the c"
Chapter Fourteen,138,period->comma,“I could kill you right now.” Barbatos said. “Take whatever you have and—”,"“I could kill you right now,” Barbatos said. “Take whatever you have and—”"
Chapter Fourteen,143,period->comma,"“Alright, Dantalion.” He said. “You win this round. Finish whate","“Alright, Dantalion,” he said. “You win this round. Finish whate"
Chapter Fourteen,145,period->comma,"“Oh, don’t worry.” Dantalion called after him, the teacup back in his ","“Oh, don’t worry,” Dantalion called after him, the teacup back in his "
Chapter Fifteen,8,period->comma,“Information asymmetry.” Elizabeth said.,"“Information asymmetry,” Elizabeth said."
Chapter Fifteen,13,period->comma,"rst obstacle we’ll be removing.” He said, watching her fix her hair with a ","rst obstacle we’ll be removing,” he said, watching her fix her hair with a "
Chapter Fifteen,18,period->comma,"“But I would have killed them.” Elizabeth said, without inflection.","“But I would have killed them,” Elizabeth said, without inflection."
Chapter Fifteen,19,period->comma,“You would have killed them.” He agreed. “Which rather defeated the purpos,"“You would have killed them,” he agreed. “Which rather defeated the purpos"
Chapter Fifteen,23,period->comma,“That was necessary.” She said. “You told the Murimite the King w,"“That was necessary,” she said. “You told the Murimite the King w"
Chapter Fifteen,29,period->comma, early years were... unfocused.” He said. “But all that matters is the pres," early years were... unfocused,” he said. “But all that matters is the pres"
Chapter Fifteen,30,period->comma,’re failing in the present too.” Elizabeth said. “The dome is active. The artifact,"’re failing in the present too,” Elizabeth said. “The dome is active. The artifact"
Chapter Fifteen,32,period->comma,"l deal with it when it happens.” She repeated, flat. “The Dantalion motto, appar","l deal with it when it happens,” she repeated, flat. “The Dantalion motto, appar"
Chapter Fifteen,42,period->comma,"“There she is.” Billy said, looking up at the Solarspire. “Bi","“There she is,” Billy said, looking up at the Solarspire. “Bi"
Chapter Fifteen,43,period->comma,“It’s impressive.” Carina admitted. “We don’t build tall in Murim. Mo,"“It’s impressive,” Carina admitted. “We don’t build tall in Murim. Mo"
Chapter Fifteen,48,period->comma,"“Alright, alright, very funny.” Billy announced, spreading his arms. “I ain’t dead","“Alright, alright, very funny,” Billy announced, spreading his arms. “I ain’t dead"
Chapter Fifteen,50,period->comma,“We’re not doing the job.” She said.,"“We’re not doing the job,” she said."
Chapter Fifteen,59,period->comma,“Fine.” Jane said. “But I’m not moving until you com,"“Fine,” Jane said. “But I’m not moving until you com"
Chapter Fifteen,69,period->comma,“Two Lords.” He said. “Two Ten Great Powers. Full guard,"“Two Lords,” he said. “Two Ten Great Powers. Full guard"
Chapter Fifteen,70,period->comma,“Bad timing.” Carina said.,"“Bad timing,” Carina said."
Chapter Fifteen,73,period->comma,"“We can’t do it.” Billy admitted, dropping into a chair by the fire","“We can’t do it,” Billy admitted, dropping into a chair by the fire"
Chapter Fifteen,74,period->comma,“So we move on.” Jane said. “Find another score. There’s plen,"“So we move on,” Jane said. “Find another score. There’s plen"
Chapter Fifteen,78,period->comma,“I can do it.” She said. “Even if you two are going to sit,"“I can do it,” she said. “Even if you two are going to sit"
Chapter Fifteen,93,period->comma,“We need to dock.” Gormund said. “The river’s narrowing and the ic,"“We need to dock,” Gormund said. “The river’s narrowing and the ic"
Chapter Fifteen,101,period->comma,“So we run.” Cain said.,"“So we run,” Cain said."
Chapter Fifteen,106,period->comma,"“Alright.” He said, when everything was ready. “Gear ","“Alright,” he said, when everything was ready. “Gear "
Chapter Fifteen,112,period->comma,"“Stay behind me.” Cain said, and took point. Muse’s hand found","“Stay behind me,” Cain said, and took point. Muse’s hand found"
Chapter Fifteen,121,period->comma,“The town should be here.” He said. He pulled the map from inside his,"“The town should be here,” he said. He pulled the map from inside his"
Chapter Fifteen,122,period->comma,“I don’t see anything.” Uthesia said.,"“I don’t see anything,” Uthesia said."
Chapter Fifteen,125,period->comma,“So no shelter.” Cain said.,"“So no shelter,” Cain said."
Chapter Fifteen,131,period->comma,“We need to move.” He said. “Now.”,"“We need to move,” he said. “Now.”"
Chapter Fifteen,139,period->comma,"“I can walk.” She said, and the words came out slurred, t","“I can walk,” she said, and the words came out slurred, t"
Chapter Fifteen,140,period->comma,“No moments.” Cain said. “No stopping.”,"“No moments,” Cain said. “No stopping.”"
Chapter Fifteen,149,period->comma,"“Cain.” He said, and his voice was a whisper. The ","“Cain,” he said, and his voice was a whisper. The "
Chapter Fifteen,153,period->comma,"‘He’s carrying all of us.’ Gormund thought, and the thought was distant, floa","‘He’s carrying all of us,’ Gormund thought, and the thought was distant, floa"
Chapter Fifteen,161,period->comma,"“We made it.” He said to nobody, his voice barely a soun","“We made it,” he said to nobody, his voice barely a soun"
Chapter Sixteen,11,period->comma,“Guild.” He called to his companion. “Gold rank. We’l,"“Guild,” he called to his companion. “Gold rank. We’l"
Chapter Sixteen,18,period->comma,"“I’ll carry this one.” Ghislaine said, scooping the woman up with a gent","“I’ll carry this one,” Ghislaine said, scooping the woman up with a gent"
Chapter Sixteen,28,period->comma,“Easy.” He said. “No need to get up. You four were,"“Easy,” he said. “No need to get up. You four were"
Chapter Sixteen,34,period->comma,"“We had a ship.” Gormund said. “Gragorgan military transport, fr","“We had a ship,” Gormund said. “Gragorgan military transport, fr"
Chapter Sixteen,43,period->comma,"“Now.” He said, and the tone shifted. The pleasan","“Now,” he said, and the tone shifted. The pleasan"
Chapter Sixteen,47,period->comma,“No.” Cain said.,"“No,” Cain said."
Chapter Sixteen,48,period->comma,“No.” Muse agreed.,"“No,” Muse agreed."
Chapter Sixteen,50,period->comma,ach other. “We haven’t decided.” Muse said.,"ach other. “We haven’t decided,” Muse said."
Chapter Sixteen,52,period->comma,"“A forged guild tag.” He said. “That’s a serious crime, son.”","“A forged guild tag,” he said. “That’s a serious crime, son.”"
Chapter Sixteen,54,period->comma,“I know.” He said. “I made it to get out of Zyphoria,"“I know,” he said. “I made it to get out of Zyphoria"
Chapter Sixteen,56,period->comma,"e me picky about who’s helping.” He said, and pocketed the tag. “Consider t","e me picky about who’s helping,” he said, and pocketed the tag. “Consider t"
Chapter Sixteen,67,period->comma,"ome to our esteemed gold ranks.” Fafnir said, producing three fresh tags and a ","ome to our esteemed gold ranks,” Fafnir said, producing three fresh tags and a "
Chapter Sixteen,69,period->comma,"“One more thing.” He said. “A colleague of mine, the one wit","“One more thing,” he said. “A colleague of mine, the one wit"
Chapter Sixteen,71,period->comma,“He saved our lives.” Gormund said. “On the ship. There was a militar,"“He saved our lives,” Gormund said. “On the ship. There was a militar"
Chapter Sixteen,73,period->comma,“He told us to head south.” Uthesia added. “Said the roads were safe. Then h,"“He told us to head south,” Uthesia added. “Said the roads were safe. Then h"
Chapter Sixteen,74,period->comma,"“That’s Orsted.” Fafnir said, with the tone of a man who’d hear","“That’s Orsted,” Fafnir said, with the tone of a man who’d hear"
Chapter Sixteen,76,period->comma,trip on the ship was difficult.” She said. “I was performing surgery when th,"trip on the ship was difficult,” she said. “I was performing surgery when th"
Chapter Sixteen,78,period->comma,"“Fair enough.” He said, and left.","“Fair enough,” he said, and left."
Chapter Sixteen,80,period->comma,"“Orsted.” Gormund said, staring at the ceiling. “The Drag","“Orsted,” Gormund said, staring at the ceiling. “The Drag"
Chapter Sixteen,81,period->comma,“That tracks with the stories.” Uthesia said.,"“That tracks with the stories,” Uthesia said."
Chapter Sixteen,92,period->comma,“We made it.” Muse said.,"“We made it,” Muse said."
Chapter Sixteen,94,period->comma,s like the right person to ask.” Gormund said. “He’s Council level. If anyone kn,"s like the right person to ask,” Gormund said. “He’s Council level. If anyone kn"
Chapter Sixteen,118,period->comma,"“No, sir.” He said. “I believe I’ve seen your greatne","“No, sir,” he said. “I believe I’ve seen your greatne"
Chapter Sixteen,120,period->comma,"“My apologies, then.” He said. “I must be mistaken. You have one","“My apologies, then,” he said. “I must be mistaken. You have one"
Chapter Sixteen,126,period->comma,“Nothing.” He said.,"“Nothing,” he said."
Chapter Seventeen,37,period->comma,"“Good swing.” She said to his face, which was visible thr","“Good swing,” she said to his face, which was visible thr"
Chapter Seventeen,50,period->comma,“I’m sorry.” She said.,"“I’m sorry,” she said."
Chapter Seventeen,74,period->comma,"‘Illusion.’ She thought. ‘Illusion magic. A mage, she must","‘Illusion,’ she thought. ‘Illusion magic. A mage, she must"
Chapter Seventeen,81,period->comma,ause you’re too good a fighter.” The wolffolk woman said.,"ause you’re too good a fighter,” the wolffolk woman said."
Chapter Seventeen,87,period->comma,"“This is what it feels like.” The wolffolk said, and her voice was gentler now, th","“This is what it feels like,” the wolffolk said, and her voice was gentler now, th"
Chapter Nineteen,10,period->comma,"“Prophet.” Muse said. Then: “Actually, write healer. Th","“Prophet,” Muse said. Then: “Actually, write healer. Th"
Chapter Nineteen,23,lowercase tag,“Part of your pack?” She asked.,“Part of your pack?” she asked.
Chapter Nineteen,25,period->comma,“She used to be.” Uthesia said. “But she left.”,"“She used to be,” Uthesia said. “But she left.”"
Chapter Nineteen,27,period->comma,"“Well, she’s back now.” She said, and walked out.","“Well, she’s back now,” she said, and walked out."
Chapter Nineteen,43,period->comma,“Hey.” He said. “She’s here now. We’ll know soon ,"“Hey,” he said. “She’s here now. We’ll know soon "
Chapter Nineteen,57,period->comma,"sn’t been the same without you.” He said, and his voice carried the gruff w","sn’t been the same without you,” he said, and his voice carried the gruff w"
Chapter Nineteen,59,period->comma,"“You’re alive.” Carina said. Her voice was rough, unused, the ","“You’re alive,” Carina said. Her voice was rough, unused, the "
Chapter Nineteen,63,period->comma,“Wait.” She said. “The potions.”,"“Wait,” she said. “The potions.”"
Chapter Nineteen,66,period->comma,"“Here, Gormund.” She said. “I went to get these for you.”","“Here, Gormund,” she said. “I went to get these for you.”"
Chapter Nineteen,73,period->comma,"“Hey, Cain.” He said, tossing the second vial across th","“Hey, Cain,” he said, tossing the second vial across th"
Chapter Nineteen,78,period->comma,“Thank you.” He said. “You saved us.”,"“Thank you,” he said. “You saved us.”"
Chapter Nineteen,82,period->comma,"“I’m sorry.” She managed. The words came out wet, distorted","“I’m sorry,” she managed. The words came out wet, distorted"
Chapter Nineteen,90,period->comma,“Welcome back.” She said.,"“Welcome back,” she said."
Chapter Twenty,4,period->comma,"ront desk handles registration.” He said, pressing the stamp into ink. “But","ront desk handles registration,” he said, pressing the stamp into ink. “But"
Chapter Twenty,8,period->comma,“Deceased.” Uthesia said. “All of them. I’m the last surviv,"“Deceased,” Uthesia said. “All of them. I’m the last surviv"
Chapter Twenty,10,period->comma,“I’m sorry to hear it.” He said. “I’ll add their names to the proc,"“I’m sorry to hear it,” he said. “I’ll add their names to the proc"
Chapter Twenty,13,period->comma,d prefer something sun-related.” Cain said quietly.,"d prefer something sun-related,” Cain said quietly."
Chapter Twenty,15,period->comma,“Sunforged.” She said. “How about Sunforged?”,"“Sunforged,” she said. “How about Sunforged?”"
Chapter Twenty,20,period->comma,"n Great Powers inside the dome.” He said. “Due to the limitations of entry,","n Great Powers inside the dome,” he said. “Due to the limitations of entry,"
Chapter Twenty,25,hoard->horde,ards. And Ostervik reported a hoard heading their way.”,ards. And Ostervik reported a horde heading their way.”
Chapter Twenty,29,period->comma,“Undead.” Cain said. The word came out with the flat c,"“Undead,” Cain said. The word came out with the flat c"
Chapter Twenty,29,hoard->horde,"ic I have, handling an undead hoard is well within my abilities.”","ic I have, handling an undead horde is well within my abilities.”"
Chapter Twenty,30,period->comma,"“Muse here is a divine caster.” He continued, glancing at her. “The problem is ","“Muse here is a divine caster,” he continued, glancing at her. “The problem is "
Chapter Twenty,31,period->comma,"“Glimmerhold.” Fafnir said, the connection forming before Cai","“Glimmerhold,” Fafnir said, the connection forming before Cai"
Chapter Twenty,32,hoard->horde,"ap. “If you can deal with the hoard heading toward Ostervik, then push","ap. “If you can deal with the horde heading toward Ostervik, then push"
